Gamma,Temperature
0.2,0.1
0.2,0.2
0.2,0.3
0.2,0.4
0.2,0.5
0.2,0.6
0.2,0.7
0.2,0.8
0.2,0.9
0.2,1
0.2,1.1
0.2,1.2
0.2,1.3
0.2,1.4
0.2,1.5
0.2,1.6
0.2,1.7
0.2,1.8
0.2,1.9
0.2,2
0.297470421458702,0.1
0.297470421458702,0.2
0.297470421458702,0.3
0.297470421458702,0.4
0.297470421458702,0.5
0.297470421458702,0.6
0.297470421458702,0.7
0.297470421458702,0.8
0.297470421458702,0.9
0.297470421458702,1
0.297470421458702,1.1
0.297470421458702,1.2
0.297470421458702,1.3
0.297470421458702,1.4
0.297470421458702,1.5
0.297470421458702,1.6
0.297470421458702,1.7
0.297470421458702,1.8
0.297470421458702,1.9
0.297470421458702,2
0.44244325821409,0.1
0.44244325821409,0.2
0.44244325821409,0.3
0.44244325821409,0.4
0.44244325821409,0.5
0.44244325821409,0.6
0.44244325821409,0.7
0.44244325821409,0.8
0.44244325821409,0.9
0.44244325821409,1
0.44244325821409,1.1
0.44244325821409,1.2
0.44244325821409,1.3
0.44244325821409,1.4
0.44244325821409,1.5
0.44244325821409,1.6
0.44244325821409,1.7
0.44244325821409,1.8
0.44244325821409,1.9
0.44244325821409,2
0.658068912462534,0.1
0.658068912462534,0.2
0.658068912462534,0.3
0.658068912462534,0.4
0.658068912462534,0.5
0.658068912462534,0.6
0.658068912462534,0.7
0.658068912462534,0.8
0.658068912462534,0.9
0.658068912462534,1
0.658068912462534,1.1
0.658068912462534,1.2
0.658068912462534,1.3
0.658068912462534,1.4
0.658068912462534,1.5
0.658068912462534,1.6
0.658068912462534,1.7
0.658068912462534,1.8
0.658068912462534,1.9
0.658068912462534,2
0.978780183695499,0.1
0.978780183695499,0.2
0.978780183695499,0.3
0.978780183695499,0.4
0.978780183695499,0.5
0.978780183695499,0.6
0.978780183695499,0.7
0.978780183695499,0.8
0.978780183695499,0.9
0.978780183695499,1
0.978780183695499,1.1
0.978780183695499,1.2
0.978780183695499,1.3
0.978780183695499,1.4
0.978780183695499,1.5
0.978780183695499,1.6
0.978780183695499,1.7
0.978780183695499,1.8
0.978780183695499,1.9
0.978780183695499,2
1.45579076879663,0.1
1.45579076879663,0.2
1.45579076879663,0.3
1.45579076879663,0.4
1.45579076879663,0.5
1.45579076879663,0.6
1.45579076879663,0.7
1.45579076879663,0.8
1.45579076879663,0.9
1.45579076879663,1
1.45579076879663,1.1
1.45579076879663,1.2
1.45579076879663,1.3
1.45579076879663,1.4
1.45579076879663,1.5
1.45579076879663,1.6
1.45579076879663,1.7
1.45579076879663,1.8
1.45579076879663,1.9
1.45579076879663,2
2.16527346774811,0.1
2.16527346774811,0.2
2.16527346774811,0.3
2.16527346774811,0.4
2.16527346774811,0.5
2.16527346774811,0.6
2.16527346774811,0.7
2.16527346774811,0.8
2.16527346774811,0.9
2.16527346774811,1
2.16527346774811,1.1
2.16527346774811,1.2
2.16527346774811,1.3
2.16527346774811,1.4
2.16527346774811,1.5
2.16527346774811,1.6
2.16527346774811,1.7
2.16527346774811,1.8
2.16527346774811,1.9
2.16527346774811,2
3.22052405512188,0.1
3.22052405512188,0.2
3.22052405512188,0.3
3.22052405512188,0.4
3.22052405512188,0.5
3.22052405512188,0.6
3.22052405512188,0.7
3.22052405512188,0.8
3.22052405512188,0.9
3.22052405512188,1
3.22052405512188,1.1
3.22052405512188,1.2
3.22052405512188,1.3
3.22052405512188,1.4
3.22052405512188,1.5
3.22052405512188,1.6
3.22052405512188,1.7
3.22052405512188,1.8
3.22052405512188,1.9
3.22052405512188,2
4.79005323997497,0.1
4.79005323997497,0.2
4.79005323997497,0.3
4.79005323997497,0.4
4.79005323997497,0.5
4.79005323997497,0.6
4.79005323997497,0.7
4.79005323997497,0.8
4.79005323997497,0.9
4.79005323997497,1
4.79005323997497,1.1
4.79005323997497,1.2
4.79005323997497,1.3
4.79005323997497,1.4
4.79005323997497,1.5
4.79005323997497,1.6
4.79005323997497,1.7
4.79005323997497,1.8
4.79005323997497,1.9
4.79005323997497,2
7.12449578052489,0.1
7.12449578052489,0.2
7.12449578052489,0.3
7.12449578052489,0.4
7.12449578052489,0.5
7.12449578052489,0.6
7.12449578052489,0.7
7.12449578052489,0.8
7.12449578052489,0.9
7.12449578052489,1
7.12449578052489,1.1
7.12449578052489,1.2
7.12449578052489,1.3
7.12449578052489,1.4
7.12449578052489,1.5
7.12449578052489,1.6
7.12449578052489,1.7
7.12449578052489,1.8
7.12449578052489,1.9
7.12449578052489,2
10.5966338125674,0.1
10.5966338125674,0.2
10.5966338125674,0.3
10.5966338125674,0.4
10.5966338125674,0.5
10.5966338125674,0.6
10.5966338125674,0.7
10.5966338125674,0.8
10.5966338125674,0.9
10.5966338125674,1
10.5966338125674,1.1
10.5966338125674,1.2
10.5966338125674,1.3
10.5966338125674,1.4
10.5966338125674,1.5
10.5966338125674,1.6
10.5966338125674,1.7
10.5966338125674,1.8
10.5966338125674,1.9
10.5966338125674,2
15.7609256313398,0.1
15.7609256313398,0.2
15.7609256313398,0.3
15.7609256313398,0.4
15.7609256313398,0.5
15.7609256313398,0.6
15.7609256313398,0.7
15.7609256313398,0.8
15.7609256313398,0.9
15.7609256313398,1
15.7609256313398,1.1
15.7609256313398,1.2
15.7609256313398,1.3
15.7609256313398,1.4
15.7609256313398,1.5
15.7609256313398,1.6
15.7609256313398,1.7
15.7609256313398,1.8
15.7609256313398,1.9
15.7609256313398,2
23.4420459506696,0.1
23.4420459506696,0.2
23.4420459506696,0.3
23.4420459506696,0.4
23.4420459506696,0.5
23.4420459506696,0.6
23.4420459506696,0.7
23.4420459506696,0.8
23.4420459506696,0.9
23.4420459506696,1
23.4420459506696,1.1
23.4420459506696,1.2
23.4420459506696,1.3
23.4420459506696,1.4
23.4420459506696,1.5
23.4420459506696,1.6
23.4420459506696,1.7
23.4420459506696,1.8
23.4420459506696,1.9
23.4420459506696,2
34.8665764439998,0.1
34.8665764439998,0.2
34.8665764439998,0.3
34.8665764439998,0.4
34.8665764439998,0.5
34.8665764439998,0.6
34.8665764439998,0.7
34.8665764439998,0.8
34.8665764439998,0.9
34.8665764439998,1
34.8665764439998,1.1
34.8665764439998,1.2
34.8665764439998,1.3
34.8665764439998,1.4
34.8665764439998,1.5
34.8665764439998,1.6
34.8665764439998,1.7
34.8665764439998,1.8
34.8665764439998,1.9
34.8665764439998,2
51.8588759480934,0.1
51.8588759480934,0.2
51.8588759480934,0.3
51.8588759480934,0.4
51.8588759480934,0.5
51.8588759480934,0.6
51.8588759480934,0.7
51.8588759480934,0.8
51.8588759480934,0.9
51.8588759480934,1
51.8588759480934,1.1
51.8588759480934,1.2
51.8588759480934,1.3
51.8588759480934,1.4
51.8588759480934,1.5
51.8588759480934,1.6
51.8588759480934,1.7
51.8588759480934,1.8
51.8588759480934,1.9
51.8588759480934,2
77.1324084232694,0.1
77.1324084232694,0.2
77.1324084232694,0.3
77.1324084232694,0.4
77.1324084232694,0.5
77.1324084232694,0.6
77.1324084232694,0.7
77.1324084232694,0.8
77.1324084232694,0.9
77.1324084232694,1
77.1324084232694,1.1
77.1324084232694,1.2
77.1324084232694,1.3
77.1324084232694,1.4
77.1324084232694,1.5
77.1324084232694,1.6
77.1324084232694,1.7
77.1324084232694,1.8
77.1324084232694,1.9
77.1324084232694,2
114.723050208974,0.05
114.723050208974,0.1
114.723050208974,0.15
114.723050208974,0.2
114.723050208974,0.25
114.723050208974,0.3
114.723050208974,0.35
114.723050208974,0.4
114.723050208974,0.45
114.723050208974,0.5
114.723050208974,0.55
114.723050208974,0.6
114.723050208974,0.65
114.723050208974,0.7
114.723050208974,0.75
114.723050208974,0.8
114.723050208974,0.85
114.723050208974,0.9
114.723050208974,0.95
114.723050208974,1
170.633570483456,0.05
170.633570483456,0.1
170.633570483456,0.15
170.633570483456,0.2
170.633570483456,0.25
170.633570483456,0.3
170.633570483456,0.35
170.633570483456,0.4
170.633570483456,0.45
170.633570483456,0.5
170.633570483456,0.55
170.633570483456,0.6
170.633570483456,0.65
170.633570483456,0.7
170.633570483456,0.75
170.633570483456,0.8
170.633570483456,0.85
170.633570483456,0.9
170.633570483456,0.95
170.633570483456,1
253.792200633585,0.05
253.792200633585,0.1
253.792200633585,0.15
253.792200633585,0.2
253.792200633585,0.25
253.792200633585,0.3
253.792200633585,0.35
253.792200633585,0.4
253.792200633585,0.45
253.792200633585,0.5
253.792200633585,0.55
253.792200633585,0.6
253.792200633585,0.65
253.792200633585,0.7
253.792200633585,0.75
253.792200633585,0.8
253.792200633585,0.85
253.792200633585,0.9
253.792200633585,0.95
253.792200633585,1
377.47836442702,0.05
377.47836442702,0.1
377.47836442702,0.15
377.47836442702,0.2
377.47836442702,0.25
377.47836442702,0.3
377.47836442702,0.35
377.47836442702,0.4
377.47836442702,0.45
377.47836442702,0.5
377.47836442702,0.55
377.47836442702,0.6
377.47836442702,0.65
377.47836442702,0.7
377.47836442702,0.75
377.47836442702,0.8
377.47836442702,0.85
377.47836442702,0.9
377.47836442702,0.95
377.47836442702,1
561.443240788236,0.05
561.443240788236,0.1
561.443240788236,0.15
561.443240788236,0.2
561.443240788236,0.25
561.443240788236,0.3
561.443240788236,0.35
561.443240788236,0.4
561.443240788236,0.45
561.443240788236,0.5
561.443240788236,0.55
561.443240788236,0.6
561.443240788236,0.65
561.443240788236,0.7
561.443240788236,0.75
561.443240788236,0.8
561.443240788236,0.85
561.443240788236,0.9
561.443240788236,0.95
561.443240788236,1
835.063787312081,0.05
835.063787312081,0.1
835.063787312081,0.15
835.063787312081,0.2
835.063787312081,0.25
835.063787312081,0.3
835.063787312081,0.35
835.063787312081,0.4
835.063787312081,0.45
835.063787312081,0.5
835.063787312081,0.55
835.063787312081,0.6
835.063787312081,0.65
835.063787312081,0.7
835.063787312081,0.75
835.063787312081,0.8
835.063787312081,0.85
835.063787312081,0.9
835.063787312081,0.95
835.063787312081,1
1242.03388378312,0.001
1242.03388378312,0.00133723387256
1242.03388378312,0.001788194429922
1242.03388378312,0.002391234162415
1242.03388378312,0.003197639319204
1242.03388378312,0.00427599160987
1242.03388378312,0.005718000819501
1242.03388378312,0.007646304379163
1242.03388378312,0.010224897215722
1242.03388378312,0.013673078900309
1242.03388378312,0.01828410424768
1242.03388378312,0.024450123529418
1242.03388378312,0.032695533371816
1242.03388378312,0.043721574706212
1242.03388378312,0.058465970658813
1242.03388378312,0.078182676357071
1242.03388378312,0.104548523072078
1242.03388378312,0.139805826378115
1242.03388378312,0.186953086614072
1242.03388378312,0.25
1847.34171437477,0.001
1847.34171437477,0.00133723387256
1847.34171437477,0.001788194429922
1847.34171437477,0.002391234162415
1847.34171437477,0.003197639319204
1847.34171437477,0.00427599160987
1847.34171437477,0.005718000819501
1847.34171437477,0.007646304379163
1847.34171437477,0.010224897215722
1847.34171437477,0.013673078900309
1847.34171437477,0.01828410424768
1847.34171437477,0.024450123529418
1847.34171437477,0.032695533371816
1847.34171437477,0.043721574706212
1847.34171437477,0.058465970658813
1847.34171437477,0.078182676357071
1847.34171437477,0.104548523072078
1847.34171437477,0.139805826378115
1847.34171437477,0.186953086614072
1847.34171437477,0.25
2747.64759176653,0.001
2747.64759176653,0.00133723387256
2747.64759176653,0.001788194429922
2747.64759176653,0.002391234162415
2747.64759176653,0.003197639319204
2747.64759176653,0.00427599160987
2747.64759176653,0.005718000819501
2747.64759176653,0.007646304379163
2747.64759176653,0.010224897215722
2747.64759176653,0.013673078900309
2747.64759176653,0.01828410424768
2747.64759176653,0.024450123529418
2747.64759176653,0.032695533371816
2747.64759176653,0.043721574706212
2747.64759176653,0.058465970658813
2747.64759176653,0.078182676357071
2747.64759176653,0.104548523072078
2747.64759176653,0.139805826378115
2747.64759176653,0.186953086614072
2747.64759176653,0.25
4086.71943571389,0.001
4086.71943571389,0.00133723387256
4086.71943571389,0.001788194429922
4086.71943571389,0.002391234162415
4086.71943571389,0.003197639319204
4086.71943571389,0.00427599160987
4086.71943571389,0.005718000819501
4086.71943571389,0.007646304379163
4086.71943571389,0.010224897215722
4086.71943571389,0.013673078900309
4086.71943571389,0.01828410424768
4086.71943571389,0.024450123529418
4086.71943571389,0.032695533371816
4086.71943571389,0.043721574706212
4086.71943571389,0.058465970658813
4086.71943571389,0.078182676357071
4086.71943571389,0.104548523072078
4086.71943571389,0.139805826378115
4086.71943571389,0.186953086614072
4086.71943571389,0.25
6078.3907646264,0.001
6078.3907646264,0.00133723387256
6078.3907646264,0.001788194429922
6078.3907646264,0.002391234162415
6078.3907646264,0.003197639319204
6078.3907646264,0.00427599160987
6078.3907646264,0.005718000819501
6078.3907646264,0.007646304379163
6078.3907646264,0.010224897215722
6078.3907646264,0.013673078900309
6078.3907646264,0.01828410424768
6078.3907646264,0.024450123529418
6078.3907646264,0.032695533371816
6078.3907646264,0.043721574706212
6078.3907646264,0.058465970658813
6078.3907646264,0.078182676357071
6078.3907646264,0.104548523072078
6078.3907646264,0.139805826378115
6078.3907646264,0.186953086614072
6078.3907646264,0.25
9040.7073127205,0.001
9040.7073127205,0.00133723387256
9040.7073127205,0.001788194429922
9040.7073127205,0.002391234162415
9040.7073127205,0.003197639319204
9040.7073127205,0.00427599160987
9040.7073127205,0.005718000819501
9040.7073127205,0.007646304379163
9040.7073127205,0.010224897215722
9040.7073127205,0.013673078900309
9040.7073127205,0.01828410424768
9040.7073127205,0.024450123529418
9040.7073127205,0.032695533371816
9040.7073127205,0.043721574706212
9040.7073127205,0.058465970658813
9040.7073127205,0.078182676357071
9040.7073127205,0.104548523072078
9040.7073127205,0.139805826378115
9040.7073127205,0.186953086614072
9040.7073127205,0.25
13446.7150729987,0.001
13446.7150729987,0.00133723387256
13446.7150729987,0.001788194429922
13446.7150729987,0.002391234162415
13446.7150729987,0.003197639319204
13446.7150729987,0.00427599160987
